Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Final URL,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Quality Score,Exp. CTR,Landing page exp.,Ad relevance,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
Paused,"""deck and porch builders near me""",Phrase match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Paused,paused; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""deck installation near me""",Phrase match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Not eligible,campaign paused,,5,0,0.00%,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[deck builders sterling va],Exact match,loudoun decks,Deck Builder - Sterling,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[deck resurfacing potomac falls],Exact match,loudoun decks,Deck Builder - Potomac Falls,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[deck contractors northern va],Exact match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Not eligible,campaign paused,,31,5,16.13%,USD,13.20,65.99, --, --, --, --,5,20.00%,1.00,13.20,65.99
Paused,[deck and patio builders],Exact match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Paused,paused; campaign paused,,0,0, --,USD,0,0.00,3,Below average,Average,Below average,0,0.00%,0.00,0,0.00
Enabled,"""deck builder reston va""",Phrase match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Not eligible,campaign paused,,8,0,0.00%,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""deck builder great falls va""",Phrase match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Not eligible,campaign paused,,1,0,0.00%,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[trex deck builder leesburg],Exact match,loudoun decks,Deck Builder - Leesburg,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""deck contractor fairfax va""",Phrase match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Not eligible,campaign paused,,11,0,0.00%,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[composite deck builder potomac falls],Exact match,loudoun decks,Deck Builder - Potomac Falls,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""trex deck potomac falls""",Phrase match,loudoun decks,Deck Builder - Potomac Falls,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""custom deck leesburg""",Phrase match,loudoun decks,Deck Builder - Leesburg,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Paused,"""deck repair near me""",Phrase match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Paused,paused; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[deck builder fairfax va],Exact match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Not eligible,campaign paused,,142,5,3.52%,USD,10.15,50.76,5,Below average,Average,Above average,5,20.00%,1.00,10.15,50.76
Enabled,[deck builders near me],Exact match,loudoun decks,Deck Builder - Sterling,Not eligible,campaign paused,,2,0,0.00%,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""deck builder fairfax""",Phrase match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Not eligible,campaign paused,,39,4,10.26%,USD,7.65,30.58,4,Below average,Average,Average,4,0.00%,0.00,7.65,0.00
Enabled,[composite deck builder sterling],Exact match,loudoun decks,Deck Builder - Sterling,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""custom deck builders near me""",Phrase match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Paused,"""deck and patio contractors near me""",Phrase match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Paused,paused; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[deck builder loudoun county],Exact match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Paused,[deck repair near me],Exact match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Paused,paused; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""deck builder mclean va""",Phrase match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
